,矢板の全長,引張材位置,腹起し番号
1150,6.0,0.8,9
1151,13.2,2.2,1
1152,12.3,7.2,4
1153,5.9,4.1,3
1154,5.0,2.6,5
1155,4.1,1.6,8
1156,11.4,4.6,10
1157,14.7,2.9,9
1158,9.6,6.4,5
1159,12.9,3.7,4
1160,12.0,2.5,6
1161,11.1,0.7,9
1162,18.3,1.6,1
1163,11.9,6.0,10
1164,10.1,2.6,5
1165,15.1,3.1,4
1166,14.2,2.0,6
1167,13.3,3.8,8
1168,12.4,2.5,1
1169,11.6,1.4,3
1170,13.3,4.8,2
1171,12.4,3.7,4
1172,11.5,4.7,7
1173,12.4,6.1,8
1174,11.5,4.1,1
1175,10.6,1.8,3
1176,15.5,8.8,2
1177,9.2,5.7,1
1178,8.3,4.1,4
1179,12.9,3.7,9
1180,12.0,2.7,1
1181,5.6,1.2,10
1182,12.9,7.4,3
1183,12.0,5.4,5
1184,10.5,2.5,3
1185,3.8,1.3,9
1186,12.9,3.3,5
1187,12.1,2.0,7
1188,13.3,3.5,3
1189,12.9,3.9,9
1190,12.0,2.8,1
1191,11.1,4.2,3
1192,4.7,1.6,3
1193,11.9,4.9,5
1194,5.2,1.9,1
1195,14.2,1.4,7
1196,15.6,2.2,3
1197,14.7,6.4,5
1198,14.3,5.8,1
1199,13.4,4.2,3
1200,12.5,2.9,5
1201,11.6,1.9,8
1202,13.3,9.3,7
1203,12.4,7.3,9
1204,11.5,5.7,2
1205,9.7,1.2,6
1206,14.7,6.7,5
1207,7.9,2.1,1
1208,7.5,2.4,7
1209,8.8,4.0,2
1210,7.9,3.0,5
1211,11.2,1.4,4
1212,10.3,1.6,6
1213,12.0,6.1,6
1214,4.7,2.2,8
1215,11.1,3.0,2
1216,14.3,5.5,2
1217,13.4,3.7,4
1218,7.0,1.4,3
1219,14.2,4.4,6
1220,7.9,2.5,5
1221,7.0,1.6,7
1222,10.3,2.4,7
1223,17.5,7.4,9
1224,4.4,1.3,4
1225,15.7,4.3,3
1226,9.3,2.5,3
1227,8.4,3.2,5
1228,7.5,1.6,7
1229,14.7,5.4,10
1230,13.8,4.8,2
1231,7.4,1.8,1
1232,6.5,2.1,4
1233,5.7,2.4,6
1234,12.1,5.4,1
1235,11.5,5.0,6
1236,14.4,2.4,2
1237,13.5,3.1,5
1238,15.2,6.8,4
1239,14.3,4.9,6
1240,13.4,3.5,9
1241,13.0,1.7,4
1242,13.4,8.7,3
1243,4.8,1.8,8
1244,12.0,5.4,1
1245,11.1,3.9,3
1246,9.3,5.1,8
1247,7.5,1.6,2
1248,10.8,3.1,6
1249,16.2,1.9,2
1250,14.8,6.8,1
1251,11.2,3.5,10
1252,15.3,7.6,5
1253,11.7,1.3,4
1254,7.0,5.1,3
1255,15.8,1.5,9
1256,13.1,3.3,6
1257,12.2,1.3,8
1258,13.9,1.9,8
1259,13.0,1.1,10
1260,6.6,4.1,9
1261,17.2,5.6,1
1262,16.3,4.3,3
1263,10.7,7.8,4
1264,8.9,3.7,9
1265,12.1,2.2,8
1266,11.3,1.1,1
1267,13.0,8.0,10
1268,17.6,7.4,5
1269,11.2,4.6,5
1270,10.4,2.1,7
1271,8.6,2.4,1
1272,14.9,5.2,6
1273,11.8,0.9,5
1274,6.7,1.0,10
1275,11.7,4.7,9
1276,10.8,3.4,1
1277,9.9,2.4,3
1278,14.9,3.2,2
1279,14.0,4.4,5
1280,13.1,2.8,7
1281,8.1,2.9,2
1282,7.6,2.0,8
1283,5.8,2.3,2
1284,10.4,2.2,8
1285,9.5,1.3,10
1286,14.5,2.0,9
1287,13.6,3.4,1
1288,3.2,1.7,3
1289,9.5,4.3,8
1290,6.3,0.9,7
1291,16.7,5.5,8
1292,15.8,4.3,1
1293,4.4,1.1,5
1294,3.6,2.0,8
1295,8.6,3.6,6
1296,7.7,2.5,9
1297,6.8,0.7,1
1298,14.0,1.7,3
1299,10.9,3.0,2
1300,10.0,1.8,4
1301,17.2,5.7,7
1302,4.1,0.5,2
1303,13.2,2.9,8
1304,12.3,1.3,10
1305,9.0,3.8,5
1306,13.6,0.7,10
1307,7.2,4.7,9
1308,12.2,4.5,8
1309,11.3,3.1,10
1310,10.4,2.2,3
1311,9.5,1.7,5
1312,14.5,5.7,4
1313,7.7,1.3,9
1314,15.0,4.9,2
1315,6.4,0.5,8
1316,18.2,7.9,5
1317,17.3,6.4,7
1318,16.4,3.1,10
1319,15.8,4.5,6
1320,15.0,6.2,8
1321,8.2,1.6,4
1322,7.8,2.0,9
1323,8.2,2.9,8
1324,7.7,6.0,3
1325,6.8,4.0,6
1326,5.9,2.5,8
1327,5.0,1.5,10
1328,12.2,5.1,3
1329,9.1,3.8,1
1330,8.3,2.5,4
1331,7.4,1.0,6
1332,9.1,3.2,5
1333,13.7,3.3,1
1334,6.4,3.1,2
1335,11.0,3.1,7
1336,11.8,3.7,9
1337,10.9,1.2,1
1338,15.9,8.0,10
1339,8.7,4.0,2
1340,7.8,1.4,4
1341,18.2,7.8,6
1342,11.8,4.6,5
1343,11.0,3.2,8
1344,12.3,5.7,3
1345,4.2,2.5,7
1346,15.5,6.8,7
1347,14.6,4.6,9
1348,13.2,2.9,7
1349,12.3,5.5,10
1350,13.7,8.0,5
1351,5.1,1.1,1
1352,6.4,3.5,7
1353,9.7,1.3,6
1354,16.9,4.6,9
1355,16.0,7.8,1
1356,15.1,5.5,3
1357,7.8,1.5,5
1358,15.0,3.8,7
1359,12.0,4.2,6
1360,12.8,6.6,8
1361,11.0,2.1,2
1362,10.1,2.5,5
1363,9.2,3.5,7
1364,10.0,4.3,9
1365,13.2,3.5,8
1366,14.2,9.5,10
1367,10.7,1.5,5
1368,17.9,6.1,7
1369,9.2,1.0,3
1370,15.5,6.9,8
1371,14.6,4.8,10
1372,13.7,3.4,2
1373,12.9,1.6,5
1374,12.0,0.7,7
1375,13.7,1.0,6
1376,12.9,6.0,9
1377,6.5,2.9,8
1378,5.6,1.9,10
1379,4.7,1.0,2
1380,16.0,2.8,2
1381,9.7,4.4,1
1382,10.5,6.7,3
1383,9.6,5.4,5
1384,8.7,2.1,8
1385,7.8,1.4,10
1386,12.4,4.7,5
1387,11.9,4.7,1
1388,11.0,7.3,7
1389,10.1,5.4,9
1390,14.7,5.1,5
1391,8.3,3.0,4
1392,7.4,2.1,6
1393,18.7,8.4,6
1394,17.9,6.0,8
1395,10.7,2.0,10
1396,11.5,3.7,1
1397,10.6,6.3,4
1398,12.9,1.9,5
1399,14.6,3.6,5
1400,13.7,2.7,7
1401,12.8,6.1,9
1402,6.6,3.2,9
1403,5.7,2.0,1
1404,6.9,3.1,7
1405,16.1,2.1,3
1406,15.2,1.4,5
1407,16.6,1.6,1
1408,16.0,7.7,7
1409,15.1,6.1,9
1410,14.2,5.1,1
1411,13.3,3.0,4
1412,12.5,4.8,6
1413,6.1,2.0,5
1414,13.3,7.4,8
1415,12.5,3.6,10
1416,11.6,2.0,2
1417,4.3,2.6,4
1418,3.4,1.3,6
1419,10.6,5.5,8
1420,9.7,3.8,1
1421,18.8,3.5,7
1422,8.3,6.8,9
1423,7.4,5.0,1
1424,12.0,4.6,6
1425,11.1,3.5,9
1426,10.7,6.4,5
1427,12.0,9.0,10
1428,8.9,2.8,9
1429,9.7,3.0,1
1430,12.6,1.4,7
1431,12.0,4.1,3
1432,11.1,2.7,5
1433,10.2,1.6,7
1434,17.5,5.7,9
1435,16.6,4.4,2
1436,15.7,6.6,4
1437,9.4,3.3,3
1438,8.5,1.9,6
1439,15.7,4.9,8
1440,12.5,1.3,7
1441,11.6,2.9,9
1442,12.4,5.3,1
1443,5.7,1.5,7
1444,10.8,2.7,5
1445,4.4,1.2,5
1446,11.6,8.5,7
1447,9.8,3.5,2
1448,8.9,2.1,4
1449,7.1,3.0,8
1450,6.6,3.6,4
1451,5.7,2.0,7
1452,4.9,1.2,9
1453,12.1,3.8,1
1454,11.2,7.2,4
1455,14.4,4.3,3
1456,9.4,4.1,8
1457,8.5,1.4,10
1458,8.0,0.8,6
1459,9.3,8.2,2
1460,8.4,5.9,4
1461,17.5,5.1,10
1462,16.6,3.6,3
1463,15.8,2.5,5
1464,14.9,4.6,7
1465,14.0,3.1,9
1466,15.7,6.9,9
1467,9.4,4.5,8
1468,13.9,4.1,3
1469,13.1,0.3,6
1470,6.7,2.4,5
1471,13.9,6.9,7
1472,13.0,4.8,10
1473,12.1,3.2,2
1474,11.2,2.1,4
1475,4.8,3.2,4
1476,9.9,4.7,2
1477,9.0,3.4,5
1478,8.1,2.3,7
1479,7.2,1.5,9
1480,8.0,4.9,1
1481,7.1,3.2,3
1482,6.2,1.9,6
1483,11.1,1.7,4
1484,15.7,6.3,10
1485,9.5,3.6,9
1486,8.6,2.4,1
1487,10.3,5.1,1
1488,12.6,4.9,2
1489,14.0,7.6,8
1490,13.4,5.6,4
1491,12.5,3.7,6
1492,11.6,2.2,9
1493,5.3,0.9,8
1494,9.9,3.9,3
1495,3.6,1.4,3
1496,10.8,5.6,5
1497,9.9,4.1,7
1498,6.7,2.1,6
1499,13.9,8.0,8
1500,18.5,7.4,3
1501,12.1,2.9,3
1502,11.3,1.6,5
1503,10.4,0.7,7
1504,9.5,2.7,10
1505,8.6,1.4,2
1506,8.1,1.8,8
1507,7.2,1.0,10
1508,14.4,3.1,2
1509,8.1,5.6,2
1510,6.3,2.7,6
1511,17.6,6.0,6
1512,11.7,7.6,3
1513,8.6,2.0,2
1514,7.7,1.0,4
1515,9.5,3.0,4
1516,8.6,2.0,6
1517,7.7,4.3,8
1518,5.9,1.7,3
1519,10.8,3.0,2
1520,9.9,3.8,4
1521,9.0,2.1,6
1522,16.2,6.1,9
1523,3.1,1.3,4
1524,12.3,1.0,10
1525,11.4,1.7,2
1526,18.6,7.0,4
1527,12.2,4.3,4
1528,11.3,3.0,6
1529,6.3,2.7,1
1530,4.5,2.2,6
1531,13.7,2.2,2
1532,8.6,1.5,7
1533,11.9,0.5,6
1534,6.9,1.9,1
1535,14.1,7.7,4
1536,5.4,1.3,10
1537,6.8,2.3,5
1538,5.9,1.5,8
1539,16.3,7.1,9
1540,3.6,2.0,8
1541,10.8,3.3,10
1542,9.1,6.9,5
1543,8.2,5.0,7
1544,7.3,3.6,10
1545,6.8,2.9,6
1546,5.9,1.9,8
1547,16.8,1.1,4
1548,16.3,7.6,10
1549,9.6,3.0,5
1550,8.7,1.8,8
1551,8.2,0.9,3
1552,12.7,4.1,9
1553,11.9,2.5,1
1554,11.0,1.3,3
1555,18.2,5.1,6
1556,9.6,0.7,1
1557,16.8,8.4,4
1558,15.9,6.4,6
1559,15.0,4.7,8
1560,13.2,1.5,3
1561,12.3,1.0,5
1562,7.8,4.0,4
1563,6.9,2.4,6
1564,6.0,2.2,9
1565,5.1,0.6,1
1566,12.3,8.5,3
1567,11.4,6.5,5
1568,10.8,5.8,1
1569,10.0,4.3,4
1570,9.1,3.2,6
1571,12.4,3.7,5
1572,11.5,2.3,8
1573,6.5,2.0,3
1574,5.6,1.2,5
1575,16.0,5.9,7
1576,11.3,6.4,6
1577,10.5,4.6,8
1578,13.7,2.6,7
1579,12.8,1.7,10
1580,11.9,2.3,2
1581,19.1,8.0,4
1582,18.3,4.8,6
1583,7.8,3.3,9
1584,6.9,2.4,1
1585,10.1,0.9,10
1586,9.2,1.7,3
1587,16.4,7.3,5
1588,15.5,4.0,7
1589,15.0,3.7,3
1590,14.1,7.5,5
1591,7.4,2.4,1
1592,6.9,3.0,7
1593,6.0,1.9,9
1594,7.3,2.3,5
1595,16.5,0.9,1
1596,9.7,0.4,7
1597,10.6,4.6,9
1598,4.2,2.1,8
1599,15.5,4.3,7
1600,10.5,5.0,3
1601,13.7,3.0,2
1602,11.9,2.7,7
1603,13.7,5.3,6
1604,18.2,5.4,1
1605,12.0,3.3,1
1606,11.1,5.4,3
1607,3.8,1.1,5
1608,11.0,4.5,7
1609,10.1,3.4,9
1610,13.3,1.8,9
1611,12.4,3.3,1
1612,11.1,2.2,9
1613,10.2,0.5,1
1614,11.5,2.0,7
1615,11.0,6.0,3
1616,12.4,8.3,9
1617,11.5,6.7,1
1618,10.9,3.4,7
1619,10.1,4.6,9
1620,7.4,3.4,6
1621,6.5,2.4,8
1622,17.9,4.9,8
1623,17.0,0.2,10
1624,16.1,5.7,2
1625,15.2,4.1,5
1626,10.6,3.9,3
1627,13.8,1.2,3
1628,14.2,6.8,1
1629,13.7,6.7,7
1630,7.0,2.2,3
1631,6.1,1.3,5
1632,4.7,2.2,3
1633,11.9,7.6,5
1634,15.2,4.7,5
1635,13.4,1.1,9
1636,12.5,2.9,2
1637,11.6,1.5,4
1638,13.3,5.4,3
1639,6.9,3.0,3
1640,8.3,3.4,9
1641,7.4,2.3,1
1642,16.6,7.0,7
1643,9.7,2.2,3
1644,16.9,7.6,5
1645,8.4,1.4,1
1646,9.8,3.7,7
1647,8.9,1.1,9
1648,8.3,5.1,5
1649,9.7,7.2,1
1650,8.8,5.5,3
1651,5.6,1.0,2
1652,12.8,4.3,4
1653,12.0,7.1,6
1654,10.3,3.6,1
1655,11.1,4.7,2
1656,7.9,3.8,1
1657,19.2,7.8,1
1658,13.3,3.8,8
1659,11.6,6.0,3
1660,11.1,5.6,9
1661,11.6,4.6,7
1662,12.5,1.5,3
1663,13.9,1.6,8
1664,13.0,3.9,1
1665,8.4,4.9,9
1666,7.5,3.8,2
1667,6.6,1.0,4
1668,5.7,3.2,6
1669,17.0,7.5,6
1670,16.1,5.6,8
1671,15.2,4.2,10
1672,14.4,2.3,3
1673,13.9,6.2,8
1674,13.0,4.6,1
1675,12.1,2.5,3
1676,11.2,1.5,5
1677,5.6,4.0,6
1678,16.6,6.3,2
1679,15.7,4.3,5
1680,15.3,2.8,10
1681,14.4,1.9,3
1682,13.5,4.9,5
1683,7.1,2.0,4
1684,11.7,2.1,10
1685,13.4,5.7,9
1686,7.0,3.4,8
1687,6.1,0.7,1
1688,4.3,1.4,5
1689,11.5,6.3,8
1690,9.9,1.9,2
1691,9.0,5.0,4
1692,8.4,4.5,10
1693,7.5,3.2,3
1694,6.6,2.2,5
1695,11.2,1.9,10
1696,12.9,9.1,9
1697,12.0,6.7,2
1698,11.2,5.7,4
1699,10.3,2.5,6
1700,13.5,1.9,6
1701,8.9,5.7,5
1702,13.5,4.6,10
1703,7.1,2.1,9
1704,6.2,1.3,1
1705,13.4,3.9,4
1706,12.5,8.0,6
1707,15.8,4.9,5
1708,11.2,5.8,4
1709,4.4,2.2,10
1710,3.5,1.2,2
1711,12.6,3.0,8
1712,11.7,1.6,10
1713,19.0,6.5,3
1714,12.6,3.9,2
1715,7.6,1.7,7
1716,10.8,0.5,7
1717,9.9,2.2,9
1718,11.6,5.9,8
1719,10.7,4.4,1
1720,14.0,5.7,4
1721,13.1,3.9,6
1722,12.2,2.7,9
1723,11.3,1.9,1
1724,10.4,1.3,3
1725,15.3,4.3,2
1726,4.8,2.2,4
1727,3.9,1.3,7
1728,11.1,3.9,9
1729,10.3,8.3,1
1730,9.5,6.5,3
1731,8.6,3.8,6
1732,7.7,2.3,8
1733,6.2,4.6,6
1734,5.3,3.1,9
1735,4.4,1.9,1
1736,11.6,5.4,3
1737,10.8,4.0,5
1738,14.0,1.0,5
1739,7.7,2.5,4
1740,8.5,4.5,6
1741,18.6,2.9,4
1742,10.0,1.9,10
1743,11.3,4.7,6
1744,10.4,3.0,8
1745,12.1,6.2,7
1746,11.3,4.4,10
1747,14.5,2.5,9
1748,13.6,1.6,1
1749,9.0,5.0,10
1750,11.8,1.4,6
1751,11.3,1.4,2
1752,10.5,0.8,4
1753,5.4,2.0,9
1754,12.6,7.3,2
1755,11.8,5.2,4
1756,11.2,3.1,10
1757,9.4,6.2,4
1758,8.5,4.5,7
1759,11.8,2.1,6
1760,6.8,2.0,1
1761,18.2,5.1,1
1762,13.1,4.5,6
1763,4.5,1.5,2
1764,11.7,5.9,4
1765,10.8,3.4,6
1766,14.0,2.7,6
1767,13.1,3.6,8
1768,8.1,3.3,3
1769,7.2,2.0,5
1770,9.1,5.2,5
1771,8.2,3.8,7
1772,7.3,2.9,9
1773,6.4,4.3,2
1774,9.6,1.4,1
1775,16.8,4.8,3
1776,15.9,3.0,6
1777,15.4,3.0,2
1778,7.7,2.2,10
1779,7.3,1.9,6
1780,6.4,1.1,8
1781,13.6,4.4,10
1782,12.7,8.0,2
1783,15.9,4.8,2
1784,9.1,0.9,2
1785,8.6,4.3,7
1786,6.8,1.5,2
1787,14.1,4.7,4
1788,12.3,6.7,9
1789,11.4,5.0,1
1790,10.5,3.5,4
1791,4.1,1.4,3
1792,11.4,5.4,5
1793,10.5,0.6,8
1794,9.9,6.6,3
1795,12.8,2.7,9
1796,11.9,1.5,2
1797,11.4,1.7,7
1798,10.6,0.9,10
1799,17.8,8.4,2
1800,16.9,6.4,4
1801,16.0,4.8,7
1802,15.1,3.6,9
1803,8.7,1.9,8
1804,13.3,3.3,3
1805,15.0,6.7,3
1806,7.7,2.4,5
1807,6.8,1.4,7
1808,5.9,0.7,9
1809,13.1,8.3,1
1810,10.1,2.9,10
1811,9.2,1.8,2
1812,10.9,4.4,2
1813,15.5,8.4,7
1814,14.6,6.6,9
1815,18.7,3.0,10
1816,6.0,3.4,9
1817,15.5,3.9,3
1818,14.6,2.7,5
1819,13.7,1.8,8
1820,12.8,2.8,10
1821,14.6,7.0,9
1822,13.7,3.5,2
1823,6.4,0.8,3
1824,5.6,2.1,6
1825,12.8,7.3,8
1826,15.1,3.0,10
1827,8.8,1.3,9
1828,16.0,3.6,1
1829,2.9,1.5,7
1830,10.1,6.9,9
1831,9.2,5.3,1
1832,12.4,3.1,1
1833,11.5,0.6,3
1834,13.2,8.5,2
1835,6.0,3.4,4
1836,16.5,4.0,6
1837,11.5,2.9,1
1838,13.8,4.6,3
1839,12.9,3.2,5
1840,12.0,1.2,7
1841,13.7,4.8,7
1842,12.8,7.4,9
1843,11.9,5.3,1
1844,11.5,4.2,7
1845,10.6,2.7,9
1846,9.7,1.6,2
1847,8.8,3.8,4
1848,7.9,2.3,6
1849,15.1,6.8,8
1850,14.2,5.1,1
1851,13.3,3.9,3
1852,6.9,2.2,2
1853,11.1,3.3,3
1854,10.2,2.0,6
1855,9.3,1.0,8
1856,8.4,2.5,10
1857,10.1,6.7,10
1858,9.2,4.8,2
1859,12.4,2.5,1
1860,11.6,1.6,4
1861,13.3,3.6,3
1862,17.9,8.0,8
1863,11.5,5.0,8
1864,10.6,3.6,10
1865,9.7,1.3,2
1866,8.9,0.7,5
1867,16.1,9.1,7
1868,7.5,1.8,3
1869,14.7,5.7,5
1870,7.9,2.9,1
1871,7.4,2.2,7
1872,18.4,1.0,3
1873,17.5,6.6,5
1874,16.9,6.5,1
1875,16.1,5.1,3
1876,15.2,3.9,5
1877,8.9,0.5,5
1878,8.0,1.9,7
1879,9.3,4.4,3
1880,10.2,5.5,5
1881,18.3,9.3,3
1882,17.4,7.1,5
1883,16.5,5.3,7
1884,15.6,3.9,10
1885,14.7,2.8,2
1886,8.5,1.2,1
1887,15.7,8.0,4
1888,14.8,5.6,6
1889,13.9,4.9,8
1890,7.5,1.7,8
1891,6.6,0.9,10
1892,17.9,1.9,9
1893,17.0,5.9,1
1894,6.5,4.2,4
1895,9.8,2.0,3
1896,8.9,1.1,5
1897,16.1,4.1,8
1898,9.8,5.8,7
1899,14.4,5.0,2
1900,8.0,2.1,2
1901,7.1,1.4,4
1902,8.8,2.4,3
1903,13.4,0.4,9
1904,6.1,3.0,10
1905,17.5,5.5,10
1906,16.6,4.1,2
1907,10.2,2.7,1
1908,9.3,4.4,4
1909,8.5,3.0,6
1910,10.2,7.0,5
1911,9.3,3.6,8
1912,11.6,0.6,9
1913,13.4,8.4,9
1914,12.5,6.1,1
1915,6.1,3.4,10
1916,5.2,2.2,3
1917,4.3,1.3,5
1918,15.7,2.9,4
1919,14.8,6.4,7
1920,8.0,1.6,3
1921,7.6,2.3,8
1922,12.1,2.2,4
1923,7.5,5.9,2
1924,17.6,6.5,10
1925,11.2,3.7,10
1926,10.3,2.6,2
1927,11.1,4.3,4
1928,8.1,2.4,3
1929,7.2,1.3,5
1930,8.9,4.6,4
1931,13.5,3.2,9
1932,7.1,4.7,9
1933,6.2,3.2,1
1934,10.8,2.6,6
1935,12.5,4.8,6
1936,11.6,3.6,8
1937,10.7,2.9,10
1938,10.3,6.7,6
1939,9.4,4.9,9
1940,13.1,2.1,6
1941,12.2,4.8,8
1942,11.6,4.2,4
1943,10.7,2.6,6
1944,9.9,2.3,9
1945,10.7,7.6,10
1946,9.8,5.3,3
1947,8.9,3.8,5
1948,7.2,1.9,10
1949,6.3,0.3,2
1950,13.5,7.7,4
1951,4.9,1.6,10
1952,12.1,3.3,2
1953,11.2,3.2,5
1954,14.4,0.7,4
1955,13.5,3.2,6
1956,8.5,2.7,2
1957,7.6,1.6,4
1958,6.7,1.0,6
1959,8.5,2.8,6
1960,7.6,5.6,8
1961,6.7,3.4,10
1962,11.7,3.0,9
1963,9.9,1.5,4
1964,9.0,3.5,6
1965,10.7,7.3,5
1966,9.8,5.9,7
1967,14.0,9.3,9
1968,12.2,5.2,3
1969,9.0,1.2,2
1970,10.4,1.2,8
1971,9.5,0.6,10
1972,9.0,3.6,6
1973,9.4,4.5,4
1974,9.0,2.7,10
1975,11.8,1.6,6
1976,19.0,9.3,8
1977,12.7,5.7,7
1978,11.8,4.0,10
1979,15.8,2.6,1
1980,14.9,5.8,3
1981,8.6,2.9,2
1982,14.9,4.1,7
1983,10.9,2.4,8
1984,12.2,5.0,4
1985,11.7,4.6,10
1986,10.8,3.6,2
1987,12.2,3.4,8
1988,15.4,1.5,7
1989,10.8,7.1,6
1990,13.6,3.0,2
1991,9.0,4.0,1
1992,12.2,2.0,10
1993,13.6,1.9,6
1994,13.1,7.5,2
1995,6.3,2.4,8
1996,9.6,1.6,1
1997,11.3,8.4,10
1998,13.6,3.0,2
1999,14.4,3.4,4
2000,13.5,2.5,6
2001,12.7,6.2,8
2002,11.8,4.6,1
2003,11.0,2.4,3
2004,10.1,1.5,5
2005,9.2,0.8,7
2006,10.9,2.1,7
2007,10.0,5.3,9
2008,13.2,2.6,8
2009,12.3,1.5,1
2010,9.9,3.4,3
2011,6.0,2.0,4
2012,13.2,6.8,6
2013,12.3,5.5,9
2014,15.5,3.2,8
2015,9.1,1.4,8
2016,16.3,8.6,10
2017,13.6,3.6,7
2018,7.3,1.8,6
2019,6.4,2.0,8
2020,17.7,6.8,8
2021,7.3,4.3,10
2022,6.4,3.0,2
2023,5.5,2.1,5
2024,11.8,8.7,9
2025,20.0,4.1,7
2026,9.5,2.8,10
2027,8.6,2.0,2
2028,10.9,2.7,4
2029,12.3,5.1,10
2030,11.8,5.1,5
2031,5.0,1.1,1
2032,10.1,5.1,10
2033,9.2,3.5,2
2034,10.9,6.9,2
2035,7.4,0.8,7
2036,9.1,4.5,6
2037,8.2,1.0,9
2038,7.3,4.2,1
2039,6.4,2.8,3
2040,5.5,1.7,5
2041,16.8,5.0,5
2042,15.9,3.7,7
2043,15.1,5.2,9
2044,14.6,4.4,5
2045,13.7,3.0,8
2046,15.1,4.3,3
2047,14.5,3.5,9
2048,6.9,3.0,7
2049,6.4,3.6,3
2050,17.3,5.2,9
2051,16.4,3.8,1
2052,16.0,2.0,7
2053,16.5,8.5,5
2054,7.8,1.8,1
2055,7.8,5.4,5
2056,18.7,8.0,1
2057,8.2,5.9,3
2058,17.3,5.5,9
2059,10.6,2.0,5
2060,9.7,1.2,7
2061,11.4,3.3,7
2062,10.6,6.0,9
2063,9.7,4.4,1
2064,9.1,3.7,7
2065,8.3,2.9,9
2066,7.4,0.2,2
2067,18.7,8.0,1
2068,12.8,5.0,9
2069,16.0,3.2,8
2070,5.5,2.5,10
2071,3.8,2.0,5
2072,15.1,5.0,4
2073,14.2,4.6,7
2074,19.2,3.0,5
2075,12.5,0.4,1
2076,11.9,4.4,7
2077,13.3,5.9,3
2078,11.9,2.2,1
2079,16.4,8.4,6
2080,15.6,6.4,8
2081,12.5,1.6,7
2082,13.8,3.4,3
2083,9.2,1.7,2
2084,12.4,4.7,1
2085,11.5,3.2,4
2086,6.5,2.5,9
2087,17.8,4.4,8
2088,11.4,4.1,7
2089,10.5,0.6,10
2090,9.7,4.0,2
2091,8.9,2.6,4
2092,8.0,1.5,7
2093,8.8,3.3,8
2094,12.0,3.6,8
2095,11.1,1.9,10
2096,12.8,5.0,9
2097,17.4,3.6,5
2098,11.0,1.8,4
2099,10.2,0.9,6
2100,9.3,2.8,9
2101,11.0,6.5,8
2102,7.9,1.3,7
2103,9.3,3.4,3
2104,8.4,2.3,5
2105,7.9,5.4,1
2106,7.0,4.0,3
2107,17.9,6.4,9
2108,17.4,6.0,5
2109,10.7,1.2,1
2110,12.4,1.6,10
2111,9.3,3.4,9
2112,8.4,2.2,1
2113,7.5,1.3,3
2114,14.7,3.8,6
2115,13.8,7.5,8
2116,10.7,1.6,7
2117,5.7,1.8,2
2118,12.9,6.1,4
2119,12.0,1.1,6
2120,15.2,5.1,6
2121,14.3,3.3,8
2122,16.0,6.3,8
2123,15.2,4.4,10
2124,14.3,3.0,2
2125,7.1,3.1,4
2126,17.5,5.5,5
2127,12.5,4.9,1
2128,11.0,7.0,9
2129,9.3,2.9,3
2130,12.6,1.0,3
2131,11.7,0.7,5
2132,8.4,6.0,10
2133,7.5,4.3,2
2134,10.7,2.2,1
2135,9.8,1.4,4
2136,14.8,4.4,2
2137,13.9,2.6,5
2138,13.0,1.4,7
2139,14.8,4.4,6
2140,13.9,1.9,9
2141,13.0,5.5,1
2142,12.1,3.7,3
2143,5.7,1.4,3
2144,12.9,5.2,5
2145,16.2,2.8,4
2146,5.7,2.3,7
2147,4.8,3.4,9
2148,9.4,3.3,4
2149,8.5,2.1,7
2150,8.0,1.5,2
2151,7.1,2.8,5
2152,6.2,1.4,7
2153,13.4,6.0,9
2154,12.5,4.2,2
2155,6.2,2.3,1
2156,4.4,2.1,6
2157,11.6,7.6,8
2158,14.8,4.9,7
2159,8.4,2.7,7
2160,7.5,0.6,9
2161,9.3,0.9,8
2162,8.5,5.9,1
2163,7.6,4.0,3
2164,12.1,3.3,8
2165,11.3,2.0,10
2166,9.8,4.1,9
2167,8.9,2.7,1
2168,13.5,2.6,6
2169,12.6,1.6,8
2170,12.2,3.5,4
2171,11.3,2.0,6
2172,18.5,5.5,9
2173,17.6,3.7,1
2174,11.2,2.0,10
2175,9.4,2.9,5
2176,15.7,5.7,10
2177,9.4,3.6,9
2178,8.5,2.6,1
2179,7.6,3.7,4
2180,6.7,2.4,6
2181,17.2,2.9,8
2182,6.7,1.6,10
2183,5.8,4.6,2
2184,14.9,4.5,8
2185,14.0,3.0,10
2186,13.1,1.9,3
2187,12.2,1.1,5
2188,13.9,7.5,4
2189,13.1,5.7,7
2190,6.7,3.2,6
2191,5.8,1.2,8
2192,7.1,2.2,4
2193,16.3,1.3,10
2194,15.4,5.1,2
2195,14.5,3.4,5
2196,13.6,2.1,7
2197,3.1,1.1,9
2198,10.3,3.6,1
2199,9.4,7.5,4
2200,8.5,5.3,6
2201,11.7,3.0,5
2202,10.8,1.9,8
2203,12.6,5.2,7
2204,6.3,0.7,7
2205,4.5,2.3,1
2206,15.8,5.3,1
2207,14.9,3.7,3
2208,14.0,2.4,5
2209,13.1,1.5,7
2210,12.2,3.2,10
2211,11.3,1.6,2
2212,10.9,2.5,8
2213,5.9,2.4,3
2214,5.0,2.8,5
2215,4.1,1.4,8
2216,15.4,4.4,7
2217,8.1,1.2,9
2218,14.4,7.9,3
2219,13.5,6.0,6
2220,7.2,3.4,5
2221,5.4,0.5,10
2222,16.8,7.9,9
2223,15.9,6.1,1
2224,8.6,1.4,3
