No,íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,ñÓî¬ÇÃëSí∑,ç™ì¸ÇÍê[Ç≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,à¯í£çﬁà íu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,ï†ãNÇµî‘çÜ,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,íÁäOë§êÖà _ínêkéû,íÁì‡ë§êÖà _ínêkéû, êkìx
21394,14,3,8.4,9.8,1.4,8.3,0.3,0,1.6,5.2,18, _Clay,39,15,218,66000,13, _Sandy,4,38,43,4, _SY390,63,1,0,7,3.7,0,5.5,0,0.4
21402,15,11.2,5.4,14.9,9.5,5.3,1.6,0,0.8,2.3,16, _Sandy,42,37,6,64000,17, _Sandy,14,26,161,4, _SY295,53,0,0,2,5.1,0,1.9,0,0.3
21404,24,13.7,8.2,10.3,2.1,8.1,2.4,0,1.6,6.9,14, _Clay,11,20,83,143300,17, _Clay,37,12,163,5, _SY295,85,0,0,1,3.7,0,3.6,0,0.3
21406,26,8.3,5.8,8.5,2.7,5.7,0.1,0,1.6,2.6,11, _Clay,31,2,54,102900,12, _Sandy,0,36,282,3, _SY295,77,1,1,5,0.4,0,1,0,0.1
21417,17,7,4.4,6.7,2.3,4.3,1.7,0,1.6,4,13, _Sandy,19,18,169,179400,15, _Sandy,22,1,165,5, _SY295,76,0,1,10,2.3,0,2.7,0,0.3
21424,19,2.1,9.6,10.4,0.8,9.5,1.5,0,0.8,5.6,11, _Sandy,22,40,256,177400,18, _Sandy,33,34,283,5, _SY390,65,0,1,6,7.6,0,8.3,0,0.3
21427,29,12.3,9.9,13.5,3.6,9.8,3.7,0,0.8,8.5,16, _Sandy,11,6,4,17300,14, _Clay,18,44,104,4, _SY390,89,1,0,9,9.1,0,9.4,0,0.1
21430,15,8,4.8,5.3,0.5,4.7,0.4,0,0.8,1.7,17, _Sandy,41,3,14,116100,19, _Clay,44,17,225,3, _SY390,32,0,0,3,1.9,0,2.4,0,0.2
21443,30,1.3,9.2,9.9,0.7,9.1,1.7,0,0.8,5,16, _Clay,49,1,100,152200,17, _Sandy,29,6,226,3, _SY390,89,0,1,2,4.4,0,6.6,0,0.3
21455,29,9.1,9.3,13.6,4.3,9.2,1.5,0,0.8,8.6,17, _Sandy,11,17,12,69400,17, _Sandy,48,35,168,5, _SY295,68,0,0,10,3.8,0,3.8,0,0.5
21474,30,12,6.5,12.8,6.3,6.4,2.6,0,1.6,2.8,16, _Sandy,26,9,12,183500,20, _Sandy,25,7,227,4, _SY295,37,1,0,3,5.5,0,4.1,0,0.1
21477,12,13.1,5.3,10.5,5.2,5.2,0,0,0.8,1.7,13, _Clay,42,20,263,182700,18, _Clay,15,43,290,3, _SY390,81,1,0,3,0.7,0,0.3,0,0.4
21483,15,1.9,2.1,11,8.9,2,0.1,0,0.8,0.3,18, _Sandy,35,28,118,161200,17, _Sandy,22,45,290,5, _SY390,27,1,0,4,1,0,0.2,0,0.3
21488,16,9.3,9.3,11.8,2.5,9.2,3.5,0,1.6,4.6,16, _Clay,9,8,1,179900,20, _Clay,15,22,171,4, _SY390,48,1,0,9,3.5,0,4.4,0,0.2
21489,10,1.3,4.2,5,0.8,4.1,0,0,1.6,0.7,14, _Clay,8,8,196,60400,14, _Clay,7,16,288,5, _SY295,75,1,0,5,2.2,0,0,0,0.1
21493,25,12.6,10,19.6,9.6,9.9,3.2,0,1.6,5.1,14, _Sandy,8,33,282,39400,20, _Clay,4,19,110,5, _SY295,49,0,1,8,5.2,0,7.6,0,0.2
21503,30,9.1,4.3,8.7,4.4,4.2,0,0.3,1.6,2.7,16, _Sandy,21,23,108,176500,14, _Clay,25,45,229,5, _SY295,54,1,1,3,2.1,0.1,2.9,0.1,0.3
21507,24,7.4,2,5.6,3.6,1.9,0.6,0,1.6,1.5,15, _Sandy,21,3,194,155600,20, _Clay,22,3,51,4, _SY295,28,1,0,5,0.9,0,1,0,0.3
21509,13,11,9.2,17.4,8.2,9.1,0,3.2,1.6,5.5,11, _Sandy,14,31,263,155000,13, _Sandy,32,2,229,3, _SY295,67,0,1,3,8.1,1.2,7.3,2.1,0.2
21513,23,8,9.5,10.9,1.4,9.4,3.3,0,0.8,7.4,16, _Sandy,4,42,11,193900,18, _Clay,18,12,50,5, _SY295,25,1,0,6,9.1,0,8.1,0,0.5
21516,30,3.8,4.4,12.4,8,4.3,0.3,0,1.6,1,17, _Sandy,34,39,20,93700,14, _Clay,44,29,170,4, _SY390,33,1,1,10,2,0,1.5,0,0.5
21521,14,12.4,9,16.4,7.4,8.9,3.4,0,0.8,4.1,20, _Clay,18,33,242,52600,17, _Clay,48,44,52,4, _SY295,69,0,0,5,6.7,0,8.6,0,0.2
21534,30,5.9,3.7,8.8,5.1,3.6,1.3,0,1.6,2.9,17, _Clay,21,34,116,29600,17, _Clay,4,36,293,3, _SY390,33,0,0,4,3.4,0,1.3,0,0.2
21541,16,9,5.9,11.1,5.2,5.8,2.4,0,0.8,3.6,17, _Sandy,24,11,9,147200,16, _Sandy,22,30,293,5, _SY295,61,0,0,3,5.5,0,4.6,0,0.2
21542,10,1,8.9,12.4,3.5,8.8,0,1.6,0.8,3.9,15, _Clay,23,11,204,27600,20, _Sandy,14,24,111,3, _SY390,88,0,0,9,4.5,0.7,5,1.4,0.1
21543,11,7.5,2,3.8,1.8,1.9,0,0,0.8,0.2,14, _Clay,19,39,183,67200,13, _Sandy,41,35,54,3, _SY295,73,0,1,5,1.9,0,0.3,0,0.1
21551,13,2.7,7.2,17,9.8,7.1,0,0.6,0.8,4.1,12, _Clay,22,16,271,65100,17, _Clay,0,24,172,3, _SY390,63,0,0,10,3.7,0,4.6,0.5,0.1
21553,28,1.2,3.3,9.8,6.5,3.2,0,0.5,0.8,1.1,19, _Sandy,17,44,145,184100,15, _Clay,18,29,233,4, _SY390,75,0,1,2,1.9,0.1,0.9,0.3,0.5
21556,27,1,4.8,13.8,9,4.7,0,0,1.6,3.1,11, _Clay,22,41,57,44200,13, _Clay,48,27,294,5, _SY295,37,0,0,3,1.1,0,1.2,0,0.1
21588,29,5.4,9.9,10.6,0.7,9.8,0.1,0,1.6,4.3,19, _Sandy,41,35,36,56000,11, _Sandy,40,42,177,5, _SY390,74,1,1,9,4.8,0,6,0,0.3
21607,18,11.1,8.3,10.7,2.4,8.2,0,0,1.6,5.4,15, _Clay,21,13,200,190300,16, _Clay,11,2,177,4, _SY295,46,0,0,9,4.4,0,5.8,0,0.3
21610,11,2.9,4.7,8,3.3,4.6,0,0.5,1.6,1.1,15, _Sandy,25,10,7,129800,19, _Clay,32,39,56,3, _SY295,35,0,0,6,3.7,0.3,3.2,0.3,0.3
21642,26,11.3,8.3,8.9,0.6,8.2,0,0.1,0.8,7.2,14, _Sandy,20,4,189,101800,19, _Sandy,29,34,180,3, _SY390,26,0,1,9,2.1,0,4.7,0,0.1
21673,28,2.6,5.3,7.2,1.9,5.2,0,2,0.8,4,12, _Clay,39,43,169,113600,17, _Clay,22,4,62,3, _SY295,63,0,0,4,3.6,0.5,5,0.5,0.3
21676,13,11.5,8.3,16.7,8.4,8.2,0,0.1,0.8,1.2,13, _Clay,18,40,178,13400,12, _Clay,47,21,182,5, _SY390,72,1,0,8,7.9,0,3.6,0,0.3
21683,15,6.7,5.4,12.3,6.9,5.3,1.9,0,1.6,4,20, _Clay,21,16,266,11400,16, _Sandy,7,10,1,4, _SY295,61,1,1,4,3.5,0,4.9,0,0.3
21696,26,11.7,4.3,5.4,1.1,4.2,1.8,0,0.8,3.9,15, _Sandy,18,1,14,107400,13, _Clay,32,6,1,4, _SY295,37,1,0,4,3.8,0,3,0,0.2
21706,15,2.8,5.3,15,9.7,5.2,0,2.1,0.8,4.6,11, _Sandy,37,34,157,25200,20, _Sandy,40,36,65,5, _SY295,43,0,1,4,2.7,0,4.5,0.2,0.5
21710,20,5,8.6,9.9,1.3,8.5,0,0.4,0.8,1.6,14, _Clay,26,45,100,143500,11, _Sandy,18,40,3,5, _SY295,28,0,0,3,7.2,0.2,6.1,0.2,0.3
21729,22,1.6,5.5,14.1,8.6,5.4,0.3,0,0.8,2.3,20, _Sandy,32,23,167,39100,19, _Clay,43,26,245,3, _SY295,86,1,0,1,0.9,0,2.3,0,0.3
21745,26,11.5,9,12.8,3.8,8.9,4.2,0,1.6,5,15, _Clay,34,4,22,74600,19, _Sandy,39,14,124,5, _SY390,50,0,0,7,7.5,0,8.8,0,0.2
21768,27,7.9,7.4,11.5,4.1,7.3,0.8,0,0.8,6.4,14, _Clay,45,25,1,29300,15, _Clay,43,43,127,4, _SY295,70,0,1,6,5.5,0,5.8,0,0.3
21774,19,12.5,5.3,12.8,7.5,5.2,0.2,0,1.6,4.2,15, _Clay,3,19,20,27900,16, _Clay,43,33,68,5, _SY390,86,0,0,4,3.5,0,4.3,0,0.4
21780,11,4.1,3.3,4.7,1.4,3.2,1.5,0,0.8,2.6,17, _Clay,12,12,39,26500,17, _Sandy,43,22,8,5, _SY295,37,1,1,2,2.5,0,3,0,0.1
21786,10,4.7,2.7,11.5,8.8,2.6,0,0,1.6,1.6,18, _Clay,46,6,156,64800,15, _Sandy,39,31,7,3, _SY295,34,1,1,3,0.7,0,0.9,0,0.2
21803,22,4.1,8.9,15.1,6.2,8.8,3.9,0,1.6,4.5,11, _Clay,17,16,87,179600,16, _Sandy,6,5,189,3, _SY295,30,1,1,9,4.7,0,4.1,0,0.5
21808,27,12.7,5.4,11.1,5.7,5.3,1.4,0,0.8,1.7,14, _Sandy,1,9,9,138500,19, _Sandy,11,20,70,4, _SY390,66,1,1,4,2.8,0,4.1,0,0.2
21812,17,9.8,5.7,14.3,8.6,5.6,2.7,0,1.6,3.7,20, _Sandy,42,20,57,177400,15, _Clay,47,30,192,3, _SY295,90,0,0,7,4.1,0,5,0,0.5
21832,23,1.1,6.7,11.1,4.4,6.6,0.8,0,0.8,5,11, _Clay,12,30,183,172600,20, _Clay,6,43,190,4, _SY295,47,1,0,8,6,0,2.6,0,0.3
21834,17,12.7,2.9,3.9,1,2.8,0.6,0,0.8,1.5,18, _Sandy,7,13,57,92600,18, _Clay,25,3,251,5, _SY295,59,1,1,10,2.7,0,2.5,0,0.2
21838,11,11,8.6,18.4,9.8,8.5,3.7,0,0.8,6.2,18, _Sandy,6,38,143,71600,14, _Sandy,22,5,73,4, _SY295,33,0,0,3,7.2,0,6.1,0,0.2
21840,21,1.5,7.7,12.5,4.8,7.6,2.1,0,0.8,3,14, _Sandy,0,20,211,71000,16, _Sandy,32,4,251,3, _SY295,72,1,0,10,3.7,0,7,0,0.5
21843,24,2.6,6.6,10.2,3.6,6.5,2.4,0,0.8,4.3,20, _Sandy,15,31,162,70200,15, _Clay,22,40,14,5, _SY295,49,1,1,1,5.1,0,4.7,0,0.3
21860,27,12.5,10,18.4,8.4,9.9,3,0,1.6,4.6,14, _Clay,17,13,17,105700,15, _Clay,18,28,193,4, _SY295,80,0,1,8,4.7,0,3.9,0,0.2
21872,15,9.9,3.2,5.2,2,3.1,0.5,0,0.8,2.7,13, _Clay,45,15,93,43000,17, _Clay,29,45,75,3, _SY390,62,1,1,3,2.6,0,2.6,0,0.2
21875,29,1.7,7.7,10.7,3,7.6,0,0,1.6,2.8,12, _Clay,49,11,200,181600,20, _Clay,50,37,254,5, _SY295,51,1,1,10,0,0,5.8,0,0.3
21919,29,13.7,6.4,7.1,0.7,6.3,0.5,0,0.8,1.3,14, _Sandy,36,18,4,169600,15, _Sandy,40,34,139,3, _SY295,29,0,0,4,5.8,0,5.5,0,0.3
21927,23,12.9,2,6.8,4.8,1.9,0.4,0,0.8,1.3,12, _Clay,13,40,294,127800,11, _Clay,3,3,199,5, _SY390,39,1,0,6,1.4,0,1.7,0,0.3
21929,21,6.1,2.3,11.4,9.1,2.2,0,1,1.6,1.5,15, _Sandy,23,9,227,147400,16, _Sandy,6,34,17,3, _SY295,81,1,0,2,2,0.3,1.3,0.1,0.4
21946,21,8.2,9.6,15.8,6.2,9.5,0,2.4,0.8,3.2,15, _Clay,9,4,23,83300,19, _Sandy,17,41,139,3, _SY390,81,0,1,5,4.5,0.7,9.5,0.3,0.1
21968,23,4.6,8,14.5,6.5,7.9,3.2,0,0.8,6.9,13, _Sandy,21,24,2,38000,16, _Clay,21,24,142,5, _SY295,35,0,0,4,4.6,0,6.9,0,0.2
21975,30,7.8,2.1,8.7,6.6,2,0.8,0,1.6,1.3,13, _Sandy,25,1,196,155600,14, _Sandy,40,19,143,4, _SY390,63,1,0,4,1.2,0,1.2,0,0.3
21980,20,5.7,8.5,13.2,4.7,8.4,0,2.4,1.6,3.3,17, _Clay,43,9,148,173700,20, _Clay,43,40,202,3, _SY295,57,0,0,7,4.9,0.3,7.5,2,0.5
21999,18,1,8,14.1,6.1,7.9,0,0.6,0.8,4.6,19, _Sandy,39,18,176,129200,18, _Sandy,6,33,142,3, _SY295,33,0,1,5,1,0,7.7,0.3,0.3
22009,29,5.2,9,14.1,5.1,8.9,0,0.6,1.6,4.3,15, _Sandy,7,6,20,47000,15, _Sandy,14,19,205,4, _SY295,39,1,1,5,4.2,0,2.5,0.2,0.2
22012,26,11.4,2.8,5.1,2.3,2.7,0,0.5,0.8,2,19, _Sandy,22,17,165,125600,18, _Clay,47,3,85,3, _SY295,44,1,1,2,1.2,0.3,2.1,0,0.5
22013,16,8.6,9.7,12.3,2.6,9.6,0,2.5,1.6,6.3,12, _Clay,6,31,1,105500,16, _Sandy,3,15,145,4, _SY390,40,0,0,4,7.6,1.9,7.6,2.1,0.1
22020,12,1.4,4.9,7.3,2.4,4.8,0,0.2,1.6,1.7,19, _Clay,26,39,58,44200,17, _Clay,14,43,86,5, _SY390,72,0,1,1,1.6,0.1,1.7,0,0.5
22024,17,3.5,8.3,11.9,3.6,8.2,0,1.5,0.8,5.2,12, _Sandy,14,5,1,162500,17, _Clay,43,2,24,5, _SY295,57,1,0,10,7.9,0.5,3.2,0.8,0.2
22034,26,1.2,8,12.3,4.3,7.9,0,0.6,1.6,6.1,18, _Sandy,38,9,165,40800,11, _Sandy,24,21,145,5, _SY390,78,0,1,5,6.3,0.5,6.7,0.2,0.1
22036,21,12.8,4.2,5.1,0.9,4.1,0,0.7,1.6,2.1,16, _Clay,32,37,39,159700,19, _Sandy,43,26,205,3, _SY390,90,1,0,6,3.6,0.1,1.9,0.1,0.5
22039,14,4.6,8.7,10.6,1.9,8.6,2.5,0,1.6,7.6,15, _Sandy,36,34,146,99200,12, _Sandy,13,17,84,5, _SY295,79,1,1,3,2.8,0,4.4,0,0.5
22055,16,13.5,7.7,12,4.3,7.6,0,0,1.6,5.2,13, _Sandy,14,16,9,15600,20, _Clay,21,37,88,3, _SY295,36,1,0,1,2.8,0,4.9,0,0.1
22083,26,13.2,6.7,8.8,2.1,6.6,0,1,0.8,3.9,19, _Clay,24,16,269,28800,17, _Clay,14,18,30,3, _SY390,57,1,0,9,4.8,0.8,6.2,0.9,0.1
22085,11,2.5,8.5,9.3,0.8,8.4,2.3,0,0.8,4.2,20, _Clay,7,30,299,88000,19, _Sandy,13,24,207,4, _SY390,80,0,1,7,5.9,0,6.8,0,0.2
22109,24,9.2,5.7,7,1.3,5.6,0.1,0,0.8,4.6,12, _Sandy,3,19,114,22600,13, _Sandy,24,20,269,4, _SY390,30,1,0,8,0.1,0,2.9,0,0.5
22118,15,13.6,5.2,12.5,7.3,5.1,0,0.1,0.8,1.5,16, _Clay,17,10,45,80300,12, _Sandy,3,7,271,4, _SY295,74,0,0,7,3.4,0,3.5,0,0.3
22131,17,3.1,9.5,18.5,9,9.4,1.4,0,1.6,8.6,12, _Clay,45,11,17,97000,19, _Clay,6,18,270,3, _SY295,84,1,0,8,7.1,0,2.9,0,0.2
22135,14,9.2,3.2,9.4,6.2,3.1,1.5,0,0.8,1.9,16, _Sandy,8,22,162,175600,12, _Sandy,39,2,150,3, _SY295,89,1,0,4,2.5,0,2.6,0,0.5
22149,29,2.4,7.6,14,6.4,7.5,0.5,0,0.8,3,15, _Clay,16,21,248,12800,19, _Sandy,24,37,152,3, _SY295,80,0,1,4,4.7,0,6.8,0,0.1
22158,22,1.4,4.7,8.1,3.4,4.6,1.5,0,0.8,2.7,16, _Sandy,50,39,151,30100,13, _Sandy,17,3,273,4, _SY295,51,0,1,7,1.7,0,1.5,0,0.2
22174,26,11.3,8.1,16.3,8.2,8,2,0,1.6,3.1,11, _Clay,0,21,5,65600,13, _Sandy,13,36,153,3, _SY295,81,1,0,4,5.9,0,5.6,0,0.1
22179,23,10.9,3.1,6.8,3.7,3,1.3,0,0.8,1.6,14, _Sandy,10,15,130,183800,20, _Clay,21,32,276,3, _SY390,71,0,0,6,1.4,0,2.7,0,0.3
22181,26,5.4,8.8,13.1,4.3,8.7,1.6,0,0.8,6.9,11, _Clay,30,43,101,143500,15, _Sandy,35,12,95,4, _SY390,63,1,1,1,8,0,7.1,0,0.2
22187,21,11.3,4,8.1,4.1,3.9,0.4,0,0.8,2.2,17, _Clay,49,5,159,82200,16, _Clay,47,39,37,5, _SY390,30,0,0,8,2.1,0,1.7,0,0.5
22194,25,13.2,8.9,16.7,7.8,8.8,1.4,0,0.8,3.5,12, _Sandy,43,13,13,60700,14, _Sandy,3,41,36,4, _SY390,43,1,0,8,7.7,0,4.5,0,0.4
22198,22,6.2,2.6,7.7,5.1,2.5,1.1,0,1.6,1.8,17, _Sandy,6,24,159,139300,17, _Clay,35,25,216,3, _SY390,47,1,0,5,2.1,0,2.4,0,0.1
22200,24,13.8,8.3,14,5.7,8.2,1.7,0,1.6,3,13, _Sandy,26,7,130,99000,13, _Sandy,50,5,35,5, _SY390,40,1,0,9,5.2,0,7.6,0,0.5
22214,27,9.8,5.8,11.3,5.5,5.7,1,0,0.8,3.4,19, _Sandy,49,37,80,155300,13, _Clay,28,27,278,4, _SY295,35,0,1,6,1.6,0,1.5,0,0.4
22215,26,3.1,6.1,15.9,9.8,6,2.4,0,1.6,3.6,11, _Clay,7,6,13,174800,17, _Sandy,31,13,96,3, _SY390,77,0,0,2,3.5,0,4.2,0,0.5
22218,24,2.8,7.6,10.4,2.8,7.5,0.1,0,1.6,5.9,13, _Clay,12,3,226,34900,16, _Sandy,10,11,158,4, _SY390,39,1,1,3,0.2,0,4.7,0,0.1
22220,19,1.3,3.7,12.7,9,3.6,0.4,0,1.6,1.8,11, _Sandy,7,30,100,153900,13, _Clay,28,16,218,5, _SY390,51,1,0,4,0.6,0,0.9,0,0.5
22233,22,3.9,8,9,1,7.9,1.7,0,0.8,2.5,17, _Sandy,35,32,71,170600,20, _Sandy,31,27,217,5, _SY390,61,0,1,5,2.4,0,5.9,0,0.4
22240,22,11.1,8.7,15.4,6.7,8.6,1.2,0,1.6,6.3,17, _Clay,14,9,167,49500,12, _Sandy,3,2,159,3, _SY295,43,0,0,2,3.9,0,7.5,0,0.5
22241,12,8.3,7.5,14.5,7,7.4,1.9,0,0.8,4.7,11, _Clay,49,23,2,29300,19, _Clay,10,14,219,4, _SY390,39,1,1,4,6.2,0,6.5,0,0.2
22249,27,7.5,3.1,4.6,1.5,3,1.2,0,1.6,1.5,19, _Clay,27,45,293,186600,15, _Sandy,24,28,279,3, _SY295,49,0,1,7,2.2,0,2.8,0,0.2
22251,30,2,8.8,10.9,2.1,8.7,0,1.5,1.6,6.5,16, _Sandy,47,27,264,146300,20, _Sandy,38,8,98,4, _SY295,41,1,1,2,4.1,0.5,7.4,0,0.1
22255,16,4.3,4.9,11.8,6.9,4.8,1.1,0,1.6,4.1,16, _Sandy,21,7,253,85600,19, _Clay,39,36,161,3, _SY295,34,1,1,1,2.5,0,1.2,0,0.1
22276,30,11.2,8.7,13.6,4.9,8.6,3.1,0,0.8,8,16, _Sandy,12,45,155,160000,15, _Clay,21,34,162,5, _SY295,89,1,1,2,3.5,0,7,0,0.3
22282,22,2.8,6.7,15.1,8.4,6.6,2,0,1.6,5.8,18, _Clay,21,39,175,158600,16, _Clay,21,24,103,3, _SY390,39,0,0,9,2.1,0,5.6,0,0.5
22285,28,11.7,9.7,15,5.3,9.6,0.2,0,0.8,3.3,19, _Clay,0,35,184,58400,11, _Clay,46,41,223,4, _SY295,48,1,1,3,4.8,0,2.9,0,0.5
22286,19,8.9,8.5,14.1,5.6,8.4,1.1,0,0.8,2.3,12, _Sandy,35,4,20,38300,19, _Sandy,3,8,282,5, _SY295,44,0,0,6,7.7,0,3.1,0,0.2
22300,18,3.6,8.6,17.8,9.2,8.5,0.9,0,1.6,5.8,14, _Sandy,48,20,232,154400,18, _Sandy,21,37,224,5, _SY390,89,0,1,3,7.4,0,8,0,0.4
22304,22,5.8,3.8,4.6,0.8,3.7,0,1.2,0.8,3.3,17, _Clay,37,31,174,73800,19, _Clay,50,41,162,4, _SY390,74,1,0,3,2.4,0.8,3.4,0.1,0.1
22312,13,10.2,3.3,10.1,6.8,3.2,0.2,0,0.8,1.2,11, _Sandy,0,22,106,131500,18, _Clay,28,29,164,4, _SY295,52,0,1,2,0.6,0,0.2,0,0.4
22328,26,9.8,8,9.7,1.7,7.9,0,3,0.8,4.4,12, _Clay,17,34,125,187100,20, _Clay,17,5,284,5, _SY295,86,0,1,6,4.5,1.9,6,0.7,0.1
22365,14,4.2,7.1,10.1,3,7,0,0.6,1.6,4.5,20, _Sandy,40,5,297,117500,17, _Sandy,28,14,168,4, _SY295,86,1,1,1,4.1,0,4.1,0.3,0.3
22369,19,6.4,2.4,6.7,4.3,2.3,0,0.5,1.6,1.9,13, _Clay,28,16,240,36800,17, _Clay,6,18,106,4, _SY295,71,0,1,10,0.8,0.3,1.4,0,0.5
22386,21,2.1,9.4,16.1,6.7,9.3,4.3,0,0.8,7.7,11, _Clay,6,42,103,152200,15, _Sandy,14,38,110,5, _SY390,28,0,0,8,6.8,0,8.3,0,0.1
22405,23,11.8,6.3,10.7,4.4,6.2,0,1.8,0.8,5.8,17, _Sandy,12,21,170,47800,13, _Sandy,39,24,51,3, _SY295,86,1,0,6,5.3,1.2,3.9,1.7,0.1
22415,24,6.8,4.9,10.3,5.4,4.8,0,1,0.8,4.5,17, _Clay,20,39,170,104900,15, _Sandy,28,10,231,4, _SY295,38,1,0,3,1,0.2,1.1,0.6,0.2
22417,26,1.3,2.5,8.5,6,2.4,0,0.7,1.6,1.6,13, _Clay,40,22,141,64600,20, _Sandy,42,35,50,5, _SY295,30,0,0,7,2.2,0.3,2.4,0.2,0.5
22423,18,5.9,8.6,18.1,9.5,8.5,0,0.3,1.6,4.7,15, _Sandy,49,16,160,63200,11, _Sandy,42,24,290,3, _SY390,47,1,1,5,6.7,0.1,0.6,0.2,0.2
22448,21,9.9,4.6,5.4,0.8,4.5,0,0.3,1.6,3.9,20, _Sandy,29,19,111,176500,12, _Sandy,10,32,113,4, _SY295,59,0,0,9,2.9,0.1,3.7,0.2,0.2
22461,28,13.7,6.2,14.5,8.3,6.1,0,0.7,1.6,2.8,11, _Clay,16,35,120,133400,19, _Sandy,24,36,112,4, _SY390,85,1,1,9,2.3,0.2,5.4,0.1,0.3
22463,23,12.2,2.3,7.2,4.9,2.2,0,0.4,1.6,0.6,18, _Sandy,11,18,294,53400,17, _Sandy,42,41,173,5, _SY295,31,0,0,1,1,0.2,1.1,0,0.2
22467,20,5.3,4.1,6.3,2.2,4,0,1.4,0.8,2.3,12, _Sandy,25,29,139,132000,20, _Clay,24,25,53,4, _SY295,35,0,0,7,2,0.4,3.8,0.8,0.4
22471,17,11.4,6,15,9,5.9,1.3,0,1.6,4,17, _Clay,39,40,284,11600,13, _Clay,5,10,233,4, _SY390,40,0,1,4,1.8,0,3.3,0,0.2
22473,12,9.9,2.1,7.7,5.6,2,0,0.1,1.6,0.6,14, _Sandy,34,23,158,130600,11, _Clay,24,15,293,5, _SY390,52,1,1,5,0.4,0,2,0,0.1
22478,26,8.2,7.9,12.7,4.8,7.8,0,2.3,0.8,4.4,14, _Sandy,34,2,245,109600,17, _Sandy,21,18,115,4, _SY390,26,1,1,8,7.7,0.1,5.8,1.2,0.1
22506,13,1.2,7.2,14.1,6.9,7.1,2.4,0,1.6,2.6,12, _Clay,2,17,138,142400,19, _Sandy,17,30,176,5, _SY295,89,0,0,1,4.4,0,3.9,0,0.3
22510,27,6.1,3.6,11.4,7.8,3.5,0.6,0,0.8,1.9,12, _Clay,7,13,244,81900,12, _Sandy,38,22,55,4, _SY390,78,0,1,8,2.5,0,1.3,0,0.3
22514,13,8.4,7.9,10.9,3,7.8,0,2.3,0.8,5.6,13, _Clay,32,38,234,21200,20, _Clay,39,5,118,3, _SY390,71,0,1,7,6,1.8,5,0.9,0.4
22523,27,13.9,3.7,5.5,1.8,3.6,0.5,0,0.8,3.3,14, _Sandy,19,29,157,198000,11, _Sandy,5,6,296,4, _SY390,57,0,0,5,2.4,0,3.4,0,0.5
22526,25,13.7,5.3,9.6,4.3,5.2,0,1.4,1.6,3.1,16, _Clay,24,26,69,58100,20, _Sandy,35,4,57,5, _SY295,85,0,0,6,2.6,0.7,1.4,1.3,0.1
22529,11,9.5,8.3,9.6,1.3,8.2,3.9,0,1.6,7.6,17, _Clay,3,23,79,156900,15, _Sandy,9,21,178,4, _SY390,27,0,0,10,7.3,0,6.3,0,0.2
22534,16,5,4.8,5.5,0.7,4.7,0,0.6,0.8,4,19, _Sandy,39,17,1,115800,19, _Sandy,13,36,59,4, _SY295,63,1,0,5,4.6,0.5,1.3,0,0.4
22539,25,8.4,5.4,13.3,7.9,5.3,0,1.7,1.6,4.9,17, _Clay,37,42,281,174300,19, _Sandy,2,33,299,5, _SY295,64,0,1,4,2.6,1.1,4.1,0.8,0.3
22562,20,9.9,6.8,13.3,6.5,6.7,0.6,0,1.6,4.5,13, _Sandy,48,17,155,9400,20, _Clay,49,10,119,5, _SY295,45,0,0,9,5.4,0,2.4,0,0.4
22566,30,6.9,7.1,16.5,9.4,7,2.1,0,1.6,6.5,19, _Sandy,37,28,203,48300,16, _Sandy,35,20,240,4, _SY390,69,1,1,2,6.6,0,4,0,0.2
22571,11,1.2,6.3,9.2,2.9,6.2,0.8,0,1.6,1.3,17, _Clay,11,8,87,67100,19, _Clay,28,43,121,4, _SY295,89,1,1,8,3.1,0,3.3,0,0.1
22593,23,1.4,2.2,7.4,5.2,2.1,0.9,0,1.6,1.8,19, _Sandy,11,14,222,161100,20, _Sandy,12,28,240,3, _SY295,54,1,0,3,1.2,0,1.5,0,0.5
22597,16,12.8,8,12.4,4.4,7.9,1.6,0,1.6,2.1,19, _Sandy,11,39,8,140100,16, _Clay,9,30,62,3, _SY390,28,0,0,6,2.1,0,2.7,0,0.5
22599,11,11.3,4.1,5.1,1,4,1.2,0,1.6,3.1,17, _Clay,5,22,182,60100,14, _Clay,28,35,123,4, _SY295,40,0,0,7,1.6,0,3.3,0,0.4
22634,21,11.7,2.6,8.9,6.3,2.5,1,0,1.6,1.7,14, _Clay,50,16,259,111600,19, _Clay,16,25,64,4, _SY295,58,1,0,6,1.2,0,1.7,0,0.5
