íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,à¯í£çﬁà íu,ï†ãNÇµî‘çÜ,ç™ì¸ÇÍê[Ç≥,à¿ëSó¶ÉGÉâÅ[îªíË
26,12.7,7.6,7.5,0.0,3.6,0.8,18,1,20,7,53,170400,17,0,50,43,77,1,1,52,1,1,5.7,1.6,6.5,2,1.9000000000000004,0
16,9.9,6.4,6.3,0.0,0.1,1.6,11,0,5,21,189,150200,14,1,6,10,136,2,0,48,1,0,6.0,0.0,3.8,5,2.1999999999999997,0
28,7.2,5.2,5.1,0.0,0.3,0.8,14,1,40,35,25,130000,12,1,13,23,196,0,1,44,0,1,2.0,0.2,2.3,7,2.5,0
19,11.0,5.2,5.1,1.0,0.0,0.8,17,0,20,32,140,149400,13,1,47,1,199,1,1,26,1,0,2.3,0.0,4.6,5,1.0,0
10,8.2,4.0,3.9,1.2,0.0,1.6,20,0,4,1,275,129200,20,0,3,13,259,2,0,88,0,1,3.2,0.0,3.1,8,1.2999999999999998,0
22,5.5,2.8,2.7,1.0,0.0,0.8,14,1,40,15,111,109100,18,1,10,25,18,2,1,84,1,0,1.2,0.0,1.9,0,1.6000000000000003,0
12,2.7,9.7,9.6,0.0,2.9,1.6,17,0,24,29,247,88900,16,0,17,38,78,0,0,81,0,1,6.5,2.0,5.4,2,1.9000000000000004,0
24,13.1,8.5,8.4,0.0,2.8,0.8,20,1,8,43,82,68800,13,0,25,5,137,1,1,77,1,0,8.1,2.2,4.0,4,2.3000000000000007,0
28,1.3,5.8,5.7,0.7,0.0,1.6,15,1,19,12,120,8900,13,1,36,43,138,1,1,27,0,1,3.7,0.0,1.0,4,8.2,0
11,2.5,3.2,3.1,0.4,0.0,0.8,19,1,29,26,159,148000,14,0,47,35,139,2,0,42,0,1,1.1,0.0,2.5,3,4.5,0
27,1.0,7.4,7.3,1.7,0.0,1.6,17,0,24,9,33,68000,12,1,14,40,200,0,0,54,0,0,3.4,0.0,4.5,5,1.0999999999999996,0
11,3.4,9.2,9.1,0.0,0.3,0.8,18,0,7,23,63,127200,14,0,13,2,77,1,1,78,0,1,2.3,0.1,2.9,3,9.400000000000002,0
12,9.9,2.3,2.2,1.0,0.0,0.8,18,0,3,6,42,166800,17,1,40,13,20,2,1,63,0,0,2.0,0.0,1.9,9,7.7,0
27,1.9,5.3,5.2,0.0,0.6,0.8,16,1,2,6,237,47200,12,1,32,7,137,2,1,90,0,1,1.9,0.5,4.7,5,6.000000000000001,0
18,12.3,4.1,4.0,0.0,0.6,1.6,19,0,37,19,72,27000,19,0,39,19,197,0,0,86,1,0,3.0,0.5,3.0,7,6.300000000000001,0
22,13.5,9.5,9.4,0.0,1.8,1.6,13,0,48,33,111,166200,20,1,50,12,198,0,1,36,1,0,4.5,0.3,6.2,6,2.6,0
13,10.8,8.3,8.2,0.0,1.9,0.8,16,1,32,2,246,146000,17,1,6,24,257,1,0,32,1,1,6.8,0.5,4.4,9,3.0,0
17,12.0,5.6,5.5,0.0,1.5,1.6,11,1,42,16,285,86100,17,0,17,17,258,1,0,48,1,1,3.2,0.7,2.5,8,8.9,0
28,9.3,4.4,4.3,0.0,1.3,0.8,14,0,27,30,120,66000,15,1,25,29,18,2,1,44,0,0,3.8,0.8,1.6,0,9.2,0
15,11.8,7.2,7.1,0.0,0.0,0.8,13,1,47,13,197,145200,16,0,47,14,20,0,1,75,1,1,0.9,0.0,5.0,9,1.7999999999999998,0
10,3.8,2.0,1.9,0.0,0.7,0.8,11,1,46,13,92,25600,20,0,39,8,137,1,1,36,0,1,1.5,0.6,1.4,5,9.8,0
10,10.3,3.3,3.2,0.3,0.0,0.8,20,0,42,41,71,65200,13,0,14,19,81,1,1,88,0,0,0.8,0.0,1.4,1,8.0,0
22,7.6,2.1,2.0,0.4,0.0,0.8,14,0,26,10,207,45000,11,0,22,32,140,2,0,84,1,1,1.4,0.0,0.8,3,8.4,0
20,13.9,2.4,2.3,0.0,0.1,1.6,16,0,36,24,140,64600,16,1,25,18,258,0,1,61,1,1,1.8,0.0,2.0,8,3.0000000000000004,0
11,11.2,9.3,9.2,0.0,0.8,0.8,19,0,20,38,275,44400,13,0,32,31,18,1,0,57,1,1,2.3,0.5,7.3,1,3.299999999999999,0
22,8.5,8.1,8.0,0.0,1.0,1.6,13,1,4,7,111,24200,11,0,39,43,78,1,1,53,0,0,5.1,0.7,5.2,3,3.700000000000001,0
23,1.9,9.3,9.2,0.4,0.0,1.6,12,1,0,35,90,63800,14,0,14,9,21,2,0,38,0,1,1.6,0.0,3.1,9,1.8999999999999984,0
25,9.5,6.9,6.8,1.8,0.0,0.8,19,1,20,18,61,23400,20,1,29,34,140,0,0,31,0,1,6.6,0.0,6.2,3,2.5,0
16,6.7,5.7,5.6,0.0,1.8,1.6,12,0,4,32,197,3300,17,0,36,1,200,1,1,27,1,1,3.2,1.1,4.5,6,2.8,0
20,8.0,3.1,3.0,1.1,0.0,0.8,16,0,14,1,235,142400,17,1,47,39,201,1,0,43,1,1,1.1,0.0,2.1,5,8.700000000000001,0
18,1.3,3.4,3.3,0.0,1.3,1.6,19,1,24,15,168,162000,12,1,50,25,19,2,1,85,1,1,1.6,1.1,2.0,0,3.4,0
22,2.5,8.8,8.7,0.0,4.0,0.8,13,1,34,29,207,102100,13,0,10,18,20,0,1,35,0,1,8.0,0.3,5.1,0,9.4,0
20,8.9,9.1,9.0,0.0,4.3,1.6,15,1,44,43,139,121600,17,1,13,5,138,1,1,78,0,1,4.3,0.4,4.5,5,4.0,0
21,2.3,2.2,2.1,0.4,0.0,0.8,15,1,39,26,119,161200,11,0,40,16,82,1,0,63,0,0,1.3,0.0,1.5,1,2.3,0
12,12.7,9.1,9.0,2.8,0.0,1.6,18,0,24,40,255,141000,18,1,47,28,141,2,1,59,1,0,8.8,0.0,5.9,3,2.6,0
23,9.9,7.9,7.8,0.0,1.2,0.8,12,0,8,9,90,120800,16,0,3,40,201,0,0,55,0,1,3.6,1.0,3.4,5,2.9000000000000004,0
27,11.2,5.2,5.1,2.2,0.0,1.6,16,1,18,23,129,61000,16,0,14,33,202,0,1,71,0,1,2.2,0.0,2.7,5,8.8,0
18,8.4,4.0,3.9,0.1,0.0,0.8,19,1,3,37,264,40800,14,1,21,45,261,1,0,68,1,0,1.7,0.0,3.6,7,9.1,0
16,1.7,4.3,4.2,0.0,1.1,1.6,12,0,12,6,197,60400,19,0,25,32,79,2,1,44,1,0,3.0,0.2,3.3,2,3.8,0
28,12.0,3.1,3.0,0.0,0.9,0.8,15,1,47,20,33,40200,16,1,32,44,139,0,0,41,0,0,0.9,0.3,2.0,4,4.1,0
11,13.3,8.6,8.5,0.0,2.9,0.8,19,0,7,34,71,179300,16,1,43,37,140,0,0,56,1,0,6.6,1.6,5.2,4,0.5,0
23,10.6,7.4,7.3,0.0,2.7,1.6,13,0,42,3,207,159200,14,0,50,4,200,1,1,53,0,1,3.0,1.8,3.8,6,0.7999999999999989,0
13,7.8,6.2,6.1,0.0,2.6,0.8,16,1,27,17,42,139000,12,1,6,17,259,1,0,49,1,0,4.3,2.0,2.9,8,1.0999999999999996,0
25,5.1,5.0,4.9,0.0,2.1,1.6,19,0,11,31,178,118800,19,1,13,29,19,2,1,45,0,1,4.6,1.9,4.3,1,1.4000000000000004,0
29,6.3,2.3,2.2,0.0,0.0,0.8,13,0,21,44,216,59000,19,0,25,22,20,2,0,61,1,1,1.2,0.0,1.4,0,7.3,0
20,3.6,9.2,9.1,0.0,0.3,1.6,17,1,6,13,52,38800,17,1,32,34,79,0,1,57,0,1,8.7,0.0,4.8,2,7.600000000000001,0
10,13.9,8.0,7.9,0.0,0.6,0.8,20,0,41,27,187,18600,15,0,39,1,139,1,0,53,1,0,3.2,0.2,3.0,5,7.9,0
11,7.4,9.2,9.1,2.7,0.0,1.6,20,0,36,10,167,58200,18,1,14,12,82,1,1,38,1,1,8.5,0.0,3.0,1,6.200000000000001,0
17,9.7,2.9,2.8,0.0,0.5,0.8,11,1,20,24,197,117400,20,0,13,18,259,0,1,62,0,0,2.4,0.4,2.2,9,4.800000000000001,0
17,3.1,4.2,4.1,0.0,0.0,0.8,11,0,16,7,176,157000,13,1,40,29,203,0,0,47,0,1,1.5,0.0,1.9,5,3.1,0
29,13.5,3.0,2.9,0.3,0.0,1.6,14,0,0,21,12,136800,11,0,47,42,262,1,1,43,1,1,2.4,0.0,1.1,7,3.4000000000000004,0
20,10.7,9.9,9.8,0.0,3.6,0.8,17,1,35,35,148,116700,19,1,3,9,22,2,0,39,0,0,4.8,2.0,4.4,9,3.6999999999999993,0
10,8.0,8.7,8.6,0.0,3.4,0.8,11,0,20,4,283,96500,16,1,10,21,81,2,1,35,1,1,6.5,2.3,8.0,1,4.0,0
14,9.3,6.0,5.9,2.0,0.0,1.6,15,0,30,18,22,36600,16,0,21,14,82,0,0,51,1,1,3.0,0.0,4.8,1,9.9,0
15,10.1,3.9,3.8,0.0,0.1,0.8,14,1,8,15,226,15800,16,0,39,25,20,2,1,87,0,0,0.9,0.0,0.9,1,5.199999999999999,0
15,3.5,5.1,5.0,0.8,0.0,0.8,13,1,4,43,205,55400,20,1,14,36,263,0,0,72,1,1,4.1,0.0,4.3,6,3.5,0
18,11.2,2.7,2.6,0.0,0.5,1.6,20,1,23,26,176,15100,15,1,29,16,82,1,0,64,0,1,1.8,0.4,1.5,1,4.1,0
29,8.4,9.7,9.6,0.0,2.4,0.8,13,1,8,40,12,193900,12,0,36,28,142,2,1,60,1,1,2.4,0.0,4.7,3,4.4,0
11,2.9,7.3,7.2,0.0,2.4,0.8,20,1,28,23,283,153600,18,1,50,8,261,0,1,53,1,1,6.4,0.6,6.7,8,5.000000000000001,0
22,13.3,6.1,6.0,0.0,2.2,1.6,13,0,12,37,119,133400,15,0,6,20,21,1,0,49,0,0,3.1,0.8,5.0,0,5.300000000000001,0
13,10.6,4.9,4.8,0.0,1.9,0.8,17,0,47,6,254,113200,13,0,13,32,80,2,1,45,0,1,3.8,1.0,3.5,3,5.6,0
17,11.8,2.2,2.1,0.0,0.9,0.8,11,1,7,20,293,53400,13,1,25,25,81,2,1,61,0,1,1.2,0.6,1.4,2,1.8999999999999997,0
29,9.1,9.1,9.0,0.0,4.3,1.6,14,1,42,34,128,33200,11,0,32,37,141,0,0,57,1,1,7.7,3.6,5.4,4,2.3000000000000007,0
19,6.3,7.9,7.8,0.0,0.1,0.8,18,0,26,3,264,13000,18,1,39,4,200,1,1,54,0,0,1.0,0.0,0.6,7,2.6,0
20,12.8,9.1,9.0,0.3,0.0,0.8,17,0,22,31,243,52600,12,0,14,15,144,1,1,39,0,1,6.1,0.0,6.6,2,0.8000000000000007,0
14,4.8,4.0,3.9,0.0,0.4,0.8,15,1,21,31,138,132000,16,0,6,9,261,2,1,66,0,1,1.0,0.1,2.7,8,8.8,0
26,2.1,2.8,2.7,0.0,0.3,1.6,19,0,5,45,273,111800,14,1,13,22,21,2,0,62,1,0,1.7,0.1,1.5,1,9.1,0
26,8.6,4.1,4.0,1.0,0.0,1.6,18,0,1,28,253,151400,17,0,40,33,264,0,1,47,1,1,1.4,0.0,1.7,6,7.300000000000001,0
17,5.9,2.9,2.8,0.0,0.7,1.6,11,1,36,42,89,131200,15,1,47,45,24,0,0,43,0,1,1.9,0.0,0.9,9,7.699999999999999,0
28,3.1,9.8,9.7,0.0,3.1,0.8,15,0,21,11,224,111100,12,0,3,12,83,1,1,40,1,0,9.5,0.5,8.4,1,8.0,0
19,13.5,8.6,8.5,0.0,2.9,1.6,18,0,5,25,60,90900,20,0,10,24,143,2,0,36,0,1,4.9,0.8,6.4,3,8.299999999999999,0
10,10.7,7.4,7.3,0.0,2.8,0.8,11,1,40,38,195,70700,17,1,17,37,202,0,1,32,1,0,6.3,1.1,4.8,6,8.6,0
21,8.0,6.2,6.1,0.0,2.6,1.6,15,0,25,7,31,50600,15,0,24,4,262,0,0,28,1,1,3.2,1.4,3.6,8,8.899999999999999,0
25,9.3,3.5,3.4,0.0,1.6,0.8,19,0,35,21,69,189700,15,0,36,42,263,1,1,44,1,0,3.1,1.1,1.9,7,5.199999999999999,0
24,2.5,3.8,3.7,0.0,1.7,0.8,11,1,45,35,2,10200,20,1,39,28,81,2,0,87,1,0,1.7,1.3,3.3,2,9.5,0
28,3.8,9.2,9.1,0.0,0.4,1.6,16,0,4,4,41,149400,20,0,50,21,82,2,1,37,1,0,6.1,0.3,6.7,2,5.800000000000001,0
22,2.3,5.3,5.2,0.0,0.6,1.6,13,1,50,32,215,69300,18,1,17,26,143,0,0,49,1,1,3.9,0.1,2.4,4,2.4000000000000004,0
13,12.6,4.1,4.0,0.0,0.6,0.8,17,0,34,1,50,49200,16,0,24,38,202,1,1,45,0,0,1.0,0.2,1.4,6,2.7,0
25,9.9,2.9,2.8,0.0,0.5,1.6,20,0,18,15,186,29000,13,1,32,6,262,2,0,41,1,0,1.7,0.2,0.7,8,3.0000000000000004,0
15,7.2,9.8,9.7,0.0,2.3,0.8,13,1,3,29,21,8800,11,1,39,18,22,0,1,37,0,1,9.3,1.5,8.3,0,3.299999999999999,0
24,9.7,4.5,4.4,0.0,1.4,1.6,12,0,23,12,98,88100,11,1,10,3,24,0,1,69,1,1,2.1,0.1,2.9,9,5.6,0
14,6.9,3.3,3.2,0.0,1.1,0.8,15,0,8,26,234,67900,19,1,17,16,83,1,0,65,0,0,2.5,0.2,1.8,1,5.9,0
18,8.2,8.7,8.6,0.0,3.5,1.6,20,1,18,40,272,8100,19,0,29,8,84,1,1,81,0,0,5.1,1.5,4.4,1,2.200000000000001,0
16,1.5,9.0,8.9,0.0,3.8,0.8,12,0,27,9,205,27600,14,1,32,40,202,2,0,58,0,1,6.2,1.7,8.4,6,6.5,0
28,11.8,7.8,7.7,0.0,3.6,1.6,15,1,12,23,40,7400,12,0,39,7,262,0,1,54,0,0,7.3,2.1,6.6,8,6.8,0
27,11.6,9.3,9.2,0.0,0.9,1.6,17,0,17,20,253,66500,20,0,17,5,24,2,1,82,1,1,5.9,0.1,3.0,9,9.4,0
14,1.0,4.0,3.9,0.0,0.7,1.6,16,1,37,3,30,145800,11,1,40,36,26,2,1,47,0,1,3.6,0.3,3.4,8,2.0,0
20,9.9,7.0,6.9,0.0,2.1,0.8,17,1,16,45,39,45600,16,1,14,8,146,1,1,56,1,0,3.9,2.0,3.9,2,8.5,0
11,7.1,5.8,5.7,0.0,1.9,1.6,20,1,1,14,175,25400,14,0,21,20,205,2,0,52,0,1,4.9,0.2,2.7,4,8.8,0
23,4.4,4.6,4.5,0.0,1.6,1.6,13,0,36,28,10,5300,11,1,29,33,265,0,1,48,1,0,2.1,0.3,1.8,7,9.1,0
13,1.6,3.4,3.3,0.0,1.3,0.8,17,1,21,42,146,184100,19,1,36,45,25,0,0,44,0,0,2.5,0.4,2.8,9,9.4,0
17,2.9,8.8,8.7,0.0,4.1,1.6,11,1,31,11,184,124200,19,0,47,38,26,1,1,60,1,0,5.2,2.3,7.0,8,5.799999999999999,0
29,13.3,7.6,7.5,0.0,0.0,0.8,14,0,15,25,20,104100,17,1,3,5,85,1,0,56,0,1,5.0,0.0,3.5,1,6.1,0
24,11.8,3.7,3.6,0.0,0.3,0.8,12,1,10,8,194,24000,15,0,21,10,146,0,0,69,1,0,2.7,0.0,0.8,2,2.7,0
14,9.0,2.6,2.5,0.0,0.2,1.6,15,0,45,22,29,3900,12,1,29,22,205,0,1,65,0,1,0.5,0.0,2.1,5,3.0,0
26,6.3,9.5,9.4,0.0,1.4,1.6,18,0,30,36,165,182700,20,0,36,34,265,1,1,61,0,1,5.7,0.3,7.3,7,3.3000000000000007,0
21,4.8,5.6,5.5,0.0,1.3,1.6,16,0,24,19,39,102700,18,1,3,39,25,2,1,73,1,0,3.8,0.7,3.0,9,9.5,0
25,6.1,2.9,2.8,0.0,0.7,0.8,20,0,35,33,77,42800,18,0,14,32,26,2,0,89,1,0,1.2,0.5,1.3,8,5.9,0
16,3.3,9.8,9.7,0.0,3.1,1.6,14,1,19,1,213,22600,15,1,21,44,86,0,1,85,1,1,7.5,2.8,3.6,0,6.199999999999999,0
14,9.7,2.0,1.9,0.0,0.6,0.8,16,0,28,15,146,42200,20,1,24,31,204,1,0,62,1,0,1.7,0.5,1.5,6,0.8999999999999999,0
25,6.9,8.9,8.8,0.0,3.4,1.6,19,0,13,29,281,22000,18,0,32,43,264,2,1,58,0,1,4.7,0.2,6.9,8,1.1999999999999993,0
16,4.2,7.7,7.6,0.0,3.2,1.6,13,1,48,43,117,1800,15,1,39,11,23,0,0,54,1,0,6.1,0.6,5.3,0,1.4999999999999991,0
20,5.5,5.0,4.9,0.0,2.2,0.8,17,0,8,12,155,141000,16,1,50,3,24,0,1,70,1,0,3.0,0.8,3.1,0,7.4,0
11,2.7,3.8,3.7,0.0,0.0,1.6,20,0,43,26,291,120800,13,0,6,16,84,1,0,66,0,1,2.6,0.0,0.6,2,7.7,0
15,4.0,9.2,9.1,0.0,0.4,0.8,15,1,2,40,29,60900,14,1,17,8,85,1,0,82,1,1,3.5,0.2,8.5,1,4.0,0
10,2.5,5.4,5.3,0.0,0.7,0.8,12,0,48,23,203,179900,11,0,36,13,146,2,0,28,0,1,2.6,0.0,3.4,3,0.5999999999999996,0
25,1.0,9.6,9.5,0.0,2.0,0.8,20,1,43,6,77,99900,19,0,3,18,206,0,0,40,0,0,5.6,0.7,4.0,5,6.9,0
23,7.4,9.9,9.8,0.0,2.3,0.8,12,0,1,20,10,119400,14,0,6,5,24,2,1,83,0,0,7.2,0.9,2.9,0,1.5999999999999996,0
18,5.9,6.0,5.9,0.0,1.9,0.8,20,1,47,3,184,39400,12,0,24,10,85,0,1,29,1,0,4.8,1.4,4.6,2,7.800000000000001,0
30,3.1,4.8,4.7,0.0,1.7,1.6,13,0,31,17,20,19200,20,0,32,22,145,0,0,25,0,1,2.0,1.4,3.2,4,8.100000000000001,0
20,13.5,3.6,3.5,0.0,0.0,0.8,16,1,15,31,155,198000,17,1,39,35,204,1,1,88,0,0,1.9,0.0,1.2,6,8.4,0
25,1.6,9.0,8.9,0.0,3.8,1.6,11,1,26,45,194,138200,17,0,50,27,205,1,1,37,0,0,4.7,0.7,4.8,6,4.699999999999999,0
15,12.0,7.8,7.7,0.0,3.6,1.6,14,0,10,14,29,118000,15,1,6,40,265,2,0,34,1,1,6.0,1.1,7.4,8,5.000000000000001,0
27,9.3,6.6,6.5,1.4,0.0,0.8,17,0,46,28,165,97800,13,1,13,7,24,0,1,30,0,0,1.4,0.0,5.3,0,5.300000000000001,0
28,2.7,7.9,7.8,0.0,0.9,0.8,17,1,41,11,144,137400,16,1,40,18,268,0,1,81,0,1,4.7,0.8,4.2,6,3.6,0
18,13.0,6.7,6.6,0.0,1.0,1.6,20,1,25,25,280,117200,14,1,47,30,27,1,0,77,1,1,6.4,0.0,2.7,8,3.9,0
30,10.3,5.5,5.4,0.0,1.0,0.8,14,0,10,39,116,97100,11,0,3,43,87,2,1,73,0,0,2.6,0.1,1.6,1,4.199999999999999,0
20,7.5,4.3,4.2,0.0,0.9,1.6,17,1,45,8,251,76900,19,1,10,10,147,2,1,70,0,1,3.5,0.2,3.8,3,4.500000000000001,0
11,4.8,3.1,3.0,0.0,0.7,0.8,20,0,30,22,87,56700,16,0,17,22,206,0,0,66,1,0,1.1,0.3,2.3,5,4.800000000000001,0
23,2.1,10.0,9.9,0.0,2.9,0.8,14,0,14,36,222,36600,14,0,24,34,266,1,1,62,0,0,7.1,1.6,6.8,7,5.1,0
13,12.4,8.8,8.7,0.0,2.9,1.6,17,1,49,5,58,16400,11,1,32,2,25,2,0,58,1,1,2.9,1.9,5.1,0,5.399999999999999,0
25,9.7,7.6,7.5,2.9,0.0,0.8,20,0,34,19,194,195200,19,0,39,14,85,2,1,55,0,0,4.8,0.0,3.9,2,5.700000000000001,0
29,10.9,4.9,4.8,0.0,2.0,1.6,14,0,44,33,232,135400,19,0,50,7,86,0,0,70,1,0,2.1,0.0,2.2,1,2.0,0
28,10.7,6.5,6.4,0.0,0.2,0.8,16,1,49,30,144,194500,17,1,28,4,147,1,1,32,0,1,5.1,0.1,3.3,2,4.6,0
19,8.0,5.3,5.2,0.0,0.4,0.8,20,0,33,44,280,174300,15,1,36,17,207,2,1,29,0,1,1.3,0.2,2.0,5,4.9,0
30,5.2,4.1,4.0,0.0,0.4,1.6,13,1,18,12,116,154100,13,0,43,29,267,0,0,25,1,0,2.6,0.3,1.0,7,5.200000000000001,0
21,2.5,2.9,2.8,0.0,0.4,0.8,16,0,2,26,251,134000,20,1,50,41,26,0,1,87,0,1,0.4,0.3,2.5,9,5.5,0
25,3.7,8.3,8.2,0.0,1.6,1.6,11,0,12,40,290,74100,20,1,10,34,27,1,0,37,0,1,6.0,0.1,6.7,9,1.799999999999999,0
16,1.0,7.1,7.0,0.0,1.6,0.8,14,1,48,9,125,53900,18,0,17,1,87,2,1,33,1,0,1.9,0.3,4.8,1,2.1,0
20,2.3,4.4,4.3,0.0,1.2,1.6,18,1,7,23,164,193100,18,1,28,39,88,2,0,49,0,0,3.5,0.5,2.5,0,8.0,0
10,12.6,3.2,3.1,0.0,1.0,0.8,12,0,42,37,299,172900,16,0,36,6,147,0,1,45,1,0,1.2,0.5,1.6,3,8.399999999999999,0
14,13.9,8.6,8.5,0.0,3.0,0.8,16,0,2,6,37,113000,16,0,47,44,148,0,0,61,1,0,7.3,2.3,3.6,2,4.700000000000001,0
13,7.1,8.9,8.8,0.0,3.4,1.6,18,1,11,20,270,132600,11,1,50,31,267,1,1,38,1,0,8.6,2.7,8.0,7,8.999999999999998,0
17,8.4,6.2,6.1,0.0,2.7,0.8,13,0,22,34,9,72700,11,0,10,23,268,1,1,53,0,0,4.8,0.0,5.0,7,5.3,0
28,5.6,5.0,4.9,0.0,2.2,1.6,16,0,6,3,144,52500,19,0,17,36,27,2,0,50,1,1,2.2,0.3,3.6,9,5.6,0
19,2.9,3.8,3.7,0.0,0.0,0.8,19,1,41,17,280,32400,17,1,24,3,87,0,1,46,0,1,1.5,0.0,1.3,1,5.9,0
10,13.3,2.7,2.6,0.2,0.0,1.6,12,0,26,31,115,12200,14,0,32,15,146,1,0,42,1,0,2.2,0.0,0.7,4,6.2,0
21,10.5,9.6,9.5,1.8,0.0,0.8,16,1,10,45,251,191000,12,0,39,27,206,1,1,38,0,1,3.6,0.0,9.1,6,6.500000000000002,0
22,3.9,2.7,2.6,0.0,0.4,1.6,15,1,6,28,231,31600,15,0,14,38,149,2,1,90,0,0,2.2,0.0,1.8,2,4.8,0
12,1.2,9.6,9.5,0.0,2.1,0.8,19,0,41,42,66,11400,13,1,21,6,209,2,0,86,1,1,3.5,0.2,5.7,4,5.1,0
28,6.3,4.5,4.4,1.7,0.0,0.8,17,1,40,42,261,90800,17,1,13,45,26,0,0,47,1,1,3.6,0.0,2.9,0,3.4000000000000004,0
28,12.8,5.7,5.6,0.0,1.6,0.8,16,1,36,25,240,130400,20,0,40,11,270,1,1,32,1,0,2.6,0.7,2.2,6,1.7000000000000002,0
22,4.8,8.7,8.6,0.1,0.0,0.8,14,0,35,25,135,10800,15,0,32,5,87,1,0,59,0,1,6.7,0.0,1.0,2,9.7,0
13,2.1,7.5,7.4,0.9,0.0,1.6,18,0,19,39,270,189600,13,1,39,17,146,2,1,55,0,0,2.0,0.0,6.6,4,10.0,0
14,8.6,8.7,8.6,0.0,3.6,1.6,17,1,15,22,250,30200,16,0,14,28,90,2,0,40,1,1,7.3,3.2,6.5,0,8.2,0
25,5.8,7.6,7.5,0.0,3.4,1.6,11,1,50,36,85,10000,13,1,21,40,149,0,1,36,1,0,3.9,0.1,5.1,2,8.500000000000002,0
16,3.1,6.4,6.3,0.0,3.1,0.8,14,0,34,5,221,188900,11,0,28,8,209,1,0,33,0,1,4.9,0.4,3.9,4,8.799999999999999,0
20,4.3,3.7,3.6,0.0,0.1,1.6,18,0,45,19,259,129000,11,0,40,45,210,1,1,48,0,1,0.8,0.0,0.5,4,5.2,0
11,1.6,2.5,2.4,0.0,0.1,0.8,12,1,29,33,95,108800,19,1,47,13,270,2,0,45,1,1,1.5,0.0,1.9,6,5.5,0
26,6.7,5.5,5.4,0.3,0.0,0.8,20,0,28,33,289,188200,13,1,39,7,87,0,0,72,1,1,0.9,0.0,4.4,2,3.8000000000000007,0
20,5.2,9.7,9.6,1.6,0.0,0.8,17,1,23,16,163,108200,11,0,6,12,147,1,0,84,0,0,3.0,0.0,5.5,4,0.5,0
12,9.0,9.7,9.6,0.0,2.6,0.8,20,0,3,13,278,127600,12,1,40,35,150,2,0,65,1,0,3.5,0.6,9.3,2,8.600000000000001,0
23,6.3,8.5,8.4,0.0,2.6,1.6,13,1,38,27,114,107400,20,1,47,2,210,0,1,61,1,0,5.8,1.0,7.1,4,8.899999999999999,0
14,3.5,7.3,7.2,0.0,2.5,0.8,17,1,23,41,250,87300,17,0,3,14,270,0,0,57,0,1,7.0,1.2,5.3,6,9.2,0
26,13.9,6.1,6.0,0.0,2.3,1.6,20,0,7,10,85,67100,15,1,10,27,29,1,1,54,1,0,3.6,1.4,3.9,9,9.5,0
16,11.1,4.9,4.8,0.0,2.0,0.8,13,1,42,23,221,46900,13,1,17,39,89,2,0,50,0,1,4.2,1.5,2.8,1,9.8,0
20,12.4,2.3,2.2,0.0,1.0,1.6,18,1,2,37,259,186100,13,0,28,32,90,2,1,66,0,1,1.5,0.9,1.2,0,6.2,0
11,9.6,9.2,9.1,0.0,0.0,1.6,11,0,37,6,95,165900,20,1,36,44,149,0,1,62,0,1,7.7,0.0,8.0,3,6.5,0
23,6.9,8.0,7.9,0.0,0.3,0.8,14,1,21,20,230,145700,18,0,43,11,209,1,0,58,1,0,2.1,0.0,5.6,5,6.800000000000001,0
13,4.2,6.8,6.7,2.9,0.0,1.6,18,0,6,34,66,125600,16,0,50,23,268,1,1,55,0,1,5.4,0.0,4.9,7,7.1000000000000005,0
17,5.4,4.1,4.0,0.0,0.4,0.8,12,0,16,3,104,65700,16,1,10,16,269,2,0,70,0,1,1.5,0.2,1.7,7,3.4000000000000004,0
29,2.7,2.9,2.8,0.0,0.4,1.6,15,1,0,17,240,45500,13,0,17,28,29,2,1,67,1,0,2.1,0.2,0.9,9,3.7,0
12,3.9,8.3,8.2,0.0,1.6,0.8,20,1,11,31,278,184700,14,0,28,21,30,0,0,82,0,0,4.0,1.3,1.9,8,9.599999999999998,0
24,1.2,7.1,7.0,0.0,1.6,1.6,13,0,46,45,114,164500,11,1,36,33,90,1,1,79,1,0,5.8,1.5,5.9,0,9.9,0
14,11.5,5.9,5.8,0.0,1.6,1.6,16,0,30,14,250,144300,19,0,43,1,149,1,0,75,0,1,2.4,0.1,4.2,3,0.5999999999999996,0
18,12.8,3.2,3.1,0.0,1.0,0.8,20,1,41,28,288,84500,19,1,3,38,150,2,1,25,0,1,2.8,0.3,2.0,2,6.6000000000000005,0
